id,time,工作計畫名稱,工作計畫編號,第一二級用途別科目名稱,第一二級用途別科目編號,科目編號,科目名稱,金額
201,106,,,按日按件計資酬金,0250,3202010500,,
201,106,,,按日按件計資酬金,0250,3202010800,,
201,106,,,按日按件計資酬金,0250,3202019800,,
201,106,,,委辦費,0251,total,total,2785.00
201,106,,,委辦費,0251,3202010100,,1800.00
201,106,,,委辦費,0251,3202010600,,
201,106,,,委辦費,0251,3202010200,,
201,106,,,委辦費,0251,3202010300,,
201,106,,,委辦費,0251,3202010401,,985.00
201,106,,,委辦費,0251,3202010500,,
201,106,,,委辦費,0251,3202010800,,
201,106,,,委辦費,0251,3202019800,,
201,106,,,物品,0271,total,total,19008.00
201,106,,,物品,0271,3202010100,,18617.00
201,106,,,物品,0271,3202010600,,
201,106,,,物品,0271,3202010200,,
201,106,,,物品,0271,3202010300,,
201,106,,,物品,0271,3202010401,,175.00
201,106,,,物品,0271,3202010500,,216.00
201,106,,,物品,0271,3202010800,,
201,106,,,物品,0271,3202019800,,
201,106,,,一般事務費,0279,total,total,97371.00
201,106,,,一般事務費,0279,3202010100,,37938.00
201,106,,,一般事務費,0279,3202010600,,16850.00
201,106,,,一般事務費,0279,3202010200,,
201,106,,,一般事務費,0279,3202010300,,16575.00
201,106,,,一般事務費,0279,3202010401,,5789.00
201,106,,,一般事務費,0279,3202010500,,11053.00
201,106,,,一般事務費,0279,3202010800,,9166.00
201,106,,,一般事務費,0279,3202019800,,
201,106,,,房屋建築養護費,0282,total,total,18795.00
201,106,,,房屋建築養護費,0282,3202010100,,18795.00
201,106,,,房屋建築養護費,0282,3202010600,,
201,106,,,房屋建築養護費,0282,3202010200,,
201,106,,,房屋建築養護費,0282,3202010300,,
201,106,,,房屋建築養護費,0282,3202010401,,
201,106,,,房屋建築養護費,0282,3202010500,,
201,106,,,房屋建築養護費,0282,3202010800,,
201,106,,,房屋建築養護費,0282,3202019800,,
201,106,,,車輛及辦公器具養護費,0283,total,total,1797.00
201,106,,,車輛及辦公器具養護費,0283,3202010100,,1797.00
201,106,,,車輛及辦公器具養護費,0283,3202010600,,
201,106,,,車輛及辦公器具養護費,0283,3202010200,,
201,106,,,車輛及辦公器具養護費,0283,3202010300,,
201,106,,,車輛及辦公器具養護費,0283,3202010401,,
201,106,,,車輛及辦公器具養護費,0283,3202010500,,
201,106,,,車輛及辦公器具養護費,0283,3202010800,,
201,106,,,車輛及辦公器具養護費,0283,3202019800,,
201,106,,,設施及機械設備養護費,0284,total,total,45236.00
201,106,,,設施及機械設備養護費,0284,3202010100,,45236.00
201,106,,,設施及機械設備養護費,0284,3202010600,,
201,106,,,設施及機械設備養護費,0284,3202010200,,
201,106,,,設施及機械設備養護費,0284,3202010300,,
201,106,,,設施及機械設備養護費,0284,3202010401,,
