id,time,計畫名稱及領域代碼,擬前往地區,擬拜會單位,工作內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年內有無赴同一單位拜會,前三年赴同一單位拜會之內容
240,114,"37 生物醫學科學研究40",大陸地區,醫學機構,發表論文及交流,114.01-114.12,5,1,15,18,0,33,生命科學研究,無,
240,114,"38 數理統計研究、深度學習、精準醫療、智慧健康10",大陸地區,各大學相關學系,數理統計研究、統計計算、醫學與遺傳統計等學術會議,114.01-114.12,7,5,105,125,20,250,數理科學研究,無,
240,114,"39 數理統計研究、腦影像分析、時間序列、人工智慧(AI)10",大陸地區,各大學相關學系,短期移地研究、學術交流合作及訓練參訪,114.01-114.12,8,4,65,80,5,150,數理科學研究,無,
240,114,"40 數理科學研究相關會議及學術交流訪問等11",大陸地區,學術研究機構等,出席國際研討會、發表論文、演講及學術交流訪問,114.01-114.12,3,1,12,9,4,25,數理科學研究,無,
240,114,"41 材料與分析科技探索計畫11",大陸地區,學術研究機構等,出席國際研討會、發表論文及學術交流訪問,114.01-114.12,5,1,22,20,0,42,學術研究與人才培育,無,
240,114,"42 訪問學術研究機構11",大陸地區,大陸各大學、學術研究機構等,學術交流研究訪問,114.01-114.12,4,1,16,12,2,30,數理科學研究,無,
240,114,"43 材料與分析科技探索計畫11",大陸地區,大陸各大學、學術研究機構等,學術交流研究訪問,114.01-114.12,7,1,26,20,4,50,學術研究與人才培育,無,
240,114,"44 分子生物學相關會議15",大陸地區,學術研究機構,參加分子生物相關學術會議,114.01-114.12,5,2,30,30,20,80,生命科學研究,無,
240,114,"45 天文領域相關國際會議11",大陸地區,國家科學院,發表論文,114.01-114.12,5,4,70,30,8,108,數理科學研究,有,參加國際會議
240,114,"46 東亞天文台、天文學11",大陸地區,國家科學院天文台、國家科學院天文台及重點大學,訪問交流,114.01-114.12,4,8,120,52,0,172,數理科學研究,有,進行研究計畫相關學術交流並討論合作事宜。
240,114,"47 望遠鏡儀器研討22",大陸地區,國家科學院天文台,訪問交流,114.01-114.12,5,2,30,20,0,50,數理科學研究,無,
