id,time,款,項,目,節,名稱,經常支出_人事費,經常支出_業務費,經常支出_獎補助費,經常支出_債務費,經常支出_預備金,經常支出_小計,資本支出_業務費,資本支出_設備及投資,資本支出_獎補助費,資本支出_預備金,資本支出_小計,合計
301,114,,,5,,災害防救及國土安全,,14495,1140,,,15635,,122,,,122,15757
301,114,,,6,,性別平等業務,,16273,,,,16273,,,,,,16273
301,114,,,7,,消保及食安業務,,12419,1906,,,14325,,,,,,14325
301,114,,,8,,資訊管理,,32434,,,,32434,,36556,,,36556,68990
301,114,,,9,,新聞傳播業務,,41499,20,,,41519,,10440,,,10440,51959
301,114,,,10,,人權及轉型正義,,13150,,,,13150,,,,,,13150
301,114,,,11,,個資保護委員會籌備業務,45926,50654,,,,96580,,24936,,,24936,121516
301,114,,,12,,一般建築及設備,,,,,,,,60508,,,60508,60508
301,114,,,,1,營建工程,,,,,,,,52714,,,52714,52714
301,114,,,,2,交通及運輸設備,,,,,,,,3802,,,3802,3802
301,114,,,,3,其他設備,,,,,,,,3992,,,3992,3992
301,114,,,13,,第一預備金,,,,,3800,3800,,,,,,3800
401,113,3,,,,立法院主管,,,,,,,,,,,,
401,113,,1,,,立法院,2580545,813686,15699,,3000,3412930,,234203,,,234203,3647133
401,113,,,,,立法支出,2580545,813686,15699,,3000,3412930,,234203,,,234203,3647133
401,113,,,1,,一般行政,1349917,429136,1839,,,1780892,,29107,,,29107,1809999
401,113,,,2,,委員問政業務,1230628,225171,,,,1455799,,,,,,1455799
401,113,,,,1,委員歲費及公費,313963,,,,,313963,,,,,,313963
401,113,,,,2,公費助理,828036,,,,,828036,,,,,,828036
401,113,,,,3,國會交流事務,,41600,,,,41600,,,,,,41600
401,113,,,,4,委員會館,,123783,,,,123783,,,,,,123783
401,113,,,,5,問政相關業務,88629,59788,,,,148417,,,,,,148417
401,113,,,3,,議事業務,,10861,,,,10861,,,,,,10861
401,113,,,4,,立法諮詢業務,,1099,,,,1099,,,,,,1099
401,113,,,5,,國會圖書業務,,20683,300,,,20983,,22446,,,22446,43429
401,113,,,6,,公報業務,,126736,,,,126736,,,,,,126736
401,113,,,7,,黨團補助,,,13560,,,13560,,,,,,13560
401,113,,,8,,一般建築及設備,,,,,,,,182650,,,182650,182650
401,113,,,,1,營建工程,,,,,,,,54631,,,54631,54631
401,113,,,,2,交通及運輸設備,,,,,,,,6300,,,6300,6300
401,113,,,,3,其他設備,,,,,,,,121719,,,121719,121719
401,113,,,9,,第一預備金,,,,,3000,3000,,,,,,3000
401,114,3,,,,立法院主管,,,,,,,,,,,,
401,114,,1,,,立法院,2669765,807687,15855,,3000,3496307,,264019,,,264019,3760326
401,114,,,,,立法支出,2669765,807687,15855,,3000,3496307,,264019,,,264019,3760326
401,114,,,1,,一般行政,1402027,421965,1995,,,1825987,,30313,,,30313,1856300
401,114,,,2,,委員問政業務,1267738,224042,,,,1491780,,,,,,1491780
401,114,,,,1,委員歲費及公費,326745,,,,,326745,,,,,,326745
401,114,,,,2,公費助理,852039,3668,,,,855707,,,,,,855707
401,114,,,,3,國會交流事務,,67590,,,,67590,,,,,,67590
401,114,,,,4,委員會館,,98588,,,,98588,,,,,,98588
401,114,,,,5,問政相關業務,88954,54196,,,,143150,,,,,,143150
401,114,,,3,,議事業務,,11357,,,,11357,,,,,,11357
401,114,,,4,,立法諮詢業務,,1030,,,,1030,,,,,,1030
401,114,,,5,,國會圖書業務,,21386,300,,,21686,,23421,,,23421,45107
401,114,,,6,,公報業務,,127907,,,,127907,,,,,,127907
401,114,,,7,,黨團補助,,,13560,,,13560,,,,,,13560
401,114,,,8,,一般建築及設備,,,,,,,,210285,,,210285,210285
401,114,,,,1,營建工程,,,,,,,,84207,,,84207,84207
401,114,,,,2,交通及運輸設備,,,,,,,,3080,,,3080,3080
401,114,,,,3,其他設備,,,,,,,,122998,,,122998,122998
401,114,,,9,,第一預備金,,,,,3000,3000,,,,,,3000
501,113,4,,,,司法院主管,,,,,,,,,,,,
501,113,,1,,,司法院,1240319,742775,1414398,,3000,3400492,,420747,44227,,464974,3865466
501,113,,,,,司法支出,641097,742775,38681,,3000,1425553,,420747,1233,,421980,1847533
501,113,,,1,,一般行政,641097,628654,542,,,1270293,,413140,,,413140,1683433
501,113,,,2,,憲法訴訟業務,,9885,,,,9885,,,,,,9885
501,113,,,3,,審判行政,,93801,36670,,,130471,,2227,533,,2760,133231
501,113,,,4,,司法業務規劃研考,,10435,1469,,,11904,,,700,,700,12604
501,113,,,5,,一般建築及設備,,,,,,,,5380,,,5380,5380
501,113,,,,1,交通及運輸設備,,,,,,,,5380,,,5380,5380
501,113,,,6,,第一預備金,,,,,3000,3000,,,,,,3000
501,113,,,,,福利服務支出,,,1375717,,,1375717,,,42994,,42994,1418711
501,113,,,7,,對財團法人法律扶助基金會捐助,,,1375717,,,1375717,,,42994,,42994,1418711
501,113,,,,,退休撫卹給付支出,599222,,,,,599222,,,,,,599222
501,113,,,8,,司法官退休退養給付,599222,,,,,599222,,,,,,599222
501,114,4,,,,司法院主管,,,,,,,,,,,,
501,114,,1,,,司法院,1318899,814641,1522862,,3000,3659402,,453266,36803,,490069,4149471
501,114,,,,,司法支出,676711,814641,38943,,3000,1533295,,453266,,,453266,1986561
501,114,,,1,,一般行政,676711,708906,572,,,1386189,,448564,,,448564,1834753
501,114,,,2,,憲法訴訟業務,,9877,,,,9877,,,,,,9877
501,114,,,3,,審判行政,,86172,36709,,,122881,,2052,,,2052,124933
501,114,,,4,,司法業務規劃研考,,9686,1662,,,11348,,,,,,11348
501,114,,,5,,一般建築及設備,,,,,,,,2650,,,2650,2650
501,114,,,,1,交通及運輸設備,,,,,,,,2650,,,2650,2650
501,114,,,6,,第一預備金,,,,,3000,3000,,,,,,3000
501,114,,,,,福利服務支出,,,1483919,,,1483919,,,36803,,36803,1520722
501,114,,,7,,對財團法人法律扶助基金會捐助,,,1483919,,,1483919,,,36803,,36803,1520722
501,114,,,,,退休撫卹給付支出,642188,,,,,642188,,,,,,642188
501,114,,,8,,司法官退休退養給付,642188,,,,,642188,,,,,,642188
2001,113,11,,,,教育部主管,,,,,,,,,,,,
2001,113,,1,,,教育部,13796251,4158919,136702692,,466292,155124154,99819,9430668,5918580,,15449067,170573221
2001,113,,,,,教育支出,757882,4158919,123977499,,466292,129360592,99819,9205666,5918580,,15224065,144584657
2001,113,,,1,,一般行政,726768,233356,298735,,,1258859,1000,29075,1200,,31275,1290134
2001,113,,,2,,高等教育,,1111351,113519927,,,114631278,44256,3638788,4823529,,8506573,123137851
2001,113,,,,1,高等教育行政及督導,,621435,14026971,,,14648406,18478,2257541,1004450,,3280469,17928875
2001,113,,,,2,技術職業教育行政及督導,,413521,7316343,,,7729864,25478,1381247,581929,,1988654,9718518
2001,113,,,,3,國立大學校院教學與研究輔助,,,50717026,,,50717026,,,,,,50717026
