id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,經資門,收入實現數,減項_收入待納庫數,加項_以前年度待納庫繳庫數,加項_以前年度撥款於本年度繳還數_材料,加項_以前年度撥款於本年度繳還數_存出保證金,加項_以前年度撥款於本年度繳還數_其他應收款,加項_預收款,加項_剔除經費,繳付公庫數
201,10909,109,09,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,本年度,,,,2770855,0,0,0,0,0,0,0,2770855
201,10910,109,10,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10910,109,10,1,,0502010303,資料使用費,,68,0,0,0,0,0,0,0,68
201,10910,109,10,1,,0702010101,利息收入,,2,0,0,0,0,0,0,0,2
201,10910,109,10,1,,0702010102,權利金,,52351,0,0,0,0,0,0,0,52351
201,10910,109,10,1,,0702010103,租金收入,,2130242,0,0,0,0,0,0,0,2130242
201,10910,109,10,1,,0702010500,廢舊物資售價,,323040,0,0,0,0,0,0,0,323040
201,10910,109,10,1,,1202010201,收回以前年度歲出,,7251,0,0,0,0,0,0,0,7251
201,10910,109,10,1,,1202010210,其他雜項收入,,239197,0,0,0,0,0,0,0,239197
201,10910,109,10,1,以前年度,,,,649053,0,0,0,0,0,0,0,649053
201,10910,109,10,1,一、以前年度應收(保留)數,,,,649053,0,0,0,0,0,0,0,649053
201,10910,109,10,1,,0402010301,一般賠償收入,,649053,0,0,0,0,0,0,0,649053
201,10910,109,10,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10910,109,10,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,本年度,,,,2934432,0,0,0,0,0,0,0,2934432
201,10911,109,11,1,,0402010301,一般賠償收入,,42704,0,0,0,0,0,0,0,42704
201,10911,109,11,1,,0502010303,資料使用費,,68,0,0,0,0,0,0,0,68
201,10911,109,11,1,,0702010101,利息收入,,2,0,0,0,0,0,0,0,2
201,10911,109,11,1,,0702010102,權利金,,52518,0,0,0,0,0,0,0,52518
201,10911,109,11,1,,0702010103,租金收入,,2205842,0,0,0,0,0,0,0,2205842
201,10911,109,11,1,,0702010500,廢舊物資售價,,335140,0,0,0,0,0,0,0,335140
201,10911,109,11,1,,1202010201,收回以前年度歲出,,7251,0,0,0,0,0,0,0,7251
201,10911,109,11,1,,1202010210,其他雜項收入,,290907,0,0,0,0,0,0,0,290907
201,10911,109,11,1,以前年度,,,,649053,0,0,0,0,0,0,0,649053
201,10911,109,11,1,一、以前年度應收(保留)數,,,,649053,0,0,0,0,0,0,0,649053
201,10911,109,11,1,,0402010301,一般賠償收入,,649053,0,0,0,0,0,0,0,649053
201,10911,109,11,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10911,109,11,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,本年度,,,,3108620,0,0,0,0,0,0,0,3108620
201,10912,109,12,1,,0402010301,一般賠償收入,,51944,0,0,0,0,0,0,0,51944
201,10912,109,12,1,,0502010303,資料使用費,,68,0,0,0,0,0,0,0,68
201,10912,109,12,1,,0702010101,利息收入,,2,0,0,0,0,0,0,0,2
201,10912,109,12,1,,0702010102,權利金,,52631,0,0,0,0,0,0,0,52631
201,10912,109,12,1,,0702010103,租金收入,,2282642,0,0,0,0,0,0,0,2282642
201,10912,109,12,1,,0702010500,廢舊物資售價,,341140,0,0,0,0,0,0,0,341140
201,10912,109,12,1,,1202010201,收回以前年度歲出,,13126,0,0,0,0,0,0,0,13126
201,10912,109,12,1,,1202010210,其他雜項收入,,367067,0,0,0,0,0,0,0,367067
201,10912,109,12,1,以前年度,,,,649053,0,0,0,0,0,0,0,649053
201,10912,109,12,1,一、以前年度應收(保留)數,,,,649053,0,0,0,0,0,0,0,649053
201,10912,109,12,1,,0402010301,一般賠償收入,,649053,0,0,0,0,0,0,0,649053
201,10912,109,12,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10912,109,12,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,本年度,,,,1682123,0,0,0,0,0,0,0,1682123
201,11001,110,01,1,,0502010303,資料使用費,,149,0,0,0,0,0,0,0,149
201,11001,110,01,1,,0702010103,租金收入,,1671623,0,0,0,0,0,0,0,1671623
201,11001,110,01,1,,1202010201,收回以前年度歲出,,140,0,0,0,0,0,0,0,140
201,11001,110,01,1,,1202010210,其他雜項收入,,10211,0,0,0,0,0,0,0,10211
201,11001,110,01,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,11001,110,01,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
