id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,經資門,收入實現數,減項_收入待納庫數,加項_以前年度待納庫繳庫數,加項_以前年度撥款於本年度繳還數_零用金,加項_以前年度撥款於本年度繳還數_材料,加項_以前年度撥款於本年度繳還數_存出保證金,加項_以前年度撥款於本年度繳還數_其他應收款,加項_預收款,加項_剔除經費,繳付公庫數
201,10509,105,09,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,19054,0,0,0,19054
201,10509,105,09,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10509,105,09,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,本年度收入,,,1,2007765,0,0,0,0,0,0,0,0,2007765
201,10510,105,10,1,,0402010301,一般賠償收入,1,5734,0,0,0,0,0,0,0,0,5734
201,10510,105,10,1,,0502010305,資料使用費,1,78891,0,0,0,0,0,0,0,0,78891
201,10510,105,10,1,,0702010105,權利金,1,930710,0,0,0,0,0,0,0,0,930710
201,10510,105,10,1,,0702010106,租金收入,1,486655,0,0,0,0,0,0,0,0,486655
201,10510,105,10,1,,0702010600,廢舊物資售價,1,18333,0,0,0,0,0,0,0,0,18333
201,10510,105,10,1,,1102010901,收回以前年度歲出,1,259871,0,0,0,0,0,0,0,0,259871
201,10510,105,10,1,,1102010909,其他雜項收入,1,227571,0,0,0,0,0,0,0,0,227571
201,10510,105,10,1,以前年度收入,,,1,87651,0,0,0,0,19054,0,0,0,106705
201,10510,105,10,1,一、以前年度應收(保留)數,,,1,87651,0,0,0,0,0,0,0,0,87651
201,10510,105,10,1,,1102010901,收回以前年度歲出,1,87651,0,0,0,0,0,0,0,0,87651
201,10510,105,10,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,19054,0,0,0,19054
201,10510,105,10,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,19054,0,0,0,19054
201,10510,105,10,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10510,105,10,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,本年度收入,,,1,2042169,0,0,0,0,0,0,0,0,2042169
201,10511,105,11,1,,0402010301,一般賠償收入,1,5734,0,0,0,0,0,0,0,0,5734
201,10511,105,11,1,,0502010305,資料使用費,1,78931,0,0,0,0,0,0,0,0,78931
201,10511,105,11,1,,0702010105,權利金,1,930710,0,0,0,0,0,0,0,0,930710
201,10511,105,11,1,,0702010106,租金收入,1,486655,0,0,0,0,0,0,0,0,486655
201,10511,105,11,1,,0702010600,廢舊物資售價,1,18333,0,0,0,0,0,0,0,0,18333
201,10511,105,11,1,,1102010901,收回以前年度歲出,1,259871,0,0,0,0,0,0,0,0,259871
201,10511,105,11,1,,1102010909,其他雜項收入,1,261935,0,0,0,0,0,0,0,0,261935
201,10511,105,11,1,以前年度收入,,,1,97390,0,0,0,0,19054,0,0,0,116444
201,10511,105,11,1,一、以前年度應收(保留)數,,,1,97390,0,0,0,0,0,0,0,0,97390
201,10511,105,11,1,,1102010901,收回以前年度歲出,1,97390,0,0,0,0,0,0,0,0,97390
201,10511,105,11,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,19054,0,0,0,19054
201,10511,105,11,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,19054,0,0,0,19054
201,10511,105,11,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10511,105,11,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,本年度收入,,,,2407058,0,0,0,0,0,0,0,2407058
201,10512,105,12,1,,,,,7238,0,0,0,0,0,0,0,7238
201,10512,105,12,1,,,,,96024,0,0,0,0,0,0,0,96024
201,10512,105,12,1,,,,,930710,0,0,0,0,0,0,0,930710
201,10512,105,12,1,,,,,486655,0,0,0,0,0,0,0,486655
201,10512,105,12,1,,,,,302331,0,0,0,0,0,0,0,302331
201,10512,105,12,1,,,,,259871,0,0,0,0,0,0,0,259871
201,10512,105,12,1,,,,,324229,0,0,0,0,0,0,0,324229
201,10512,105,12,1,以前年度收入,,,,107129,0,0,0,19054,0,0,0,126183
201,10512,105,12,1,一、以前年度應收(保留)數,,,,107129,0,0,0,0,0,0,0,107129
201,10512,105,12,1,,,,,107129,0,0,0,0,0,0,0,107129
201,10512,105,12,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,19054,0,0,0,19054
201,10512,105,12,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,19054,0,0,0,19054
201,10512,105,12,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10512,105,12,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,本年度收入,,,,336474,0,0,0,0,0,0,0,336474
201,10601,106,01,1,,,,,24019,0,0,0,0,0,0,0,24019
201,10601,106,01,1,,,,,297068,0,0,0,0,0,0,0,297068
201,10601,106,01,1,,,,,15387,0,0,0,0,0,0,0,15387
201,10601,106,01,1,以前年度收入,,,,9739,0,0,0,0,0,0,0,9739
201,10601,106,01,1,一、以前年度應收(保留)數,,,,9739,0,0,0,0,0,0,0,9739
201,10601,106,01,1,,,,,9739,0,0,0,0,0,0,0,9739
201,10601,106,01,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10601,106,01,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,本年度收入,,,,1081417,0,0,0,0,0,0,0,1081417
201,10602,106,02,1,,,,,29635,0,0,0,0,0,0,0,29635
201,10602,106,02,1,,,,,703372,0,0,0,0,0,0,0,703372
201,10602,106,02,1,,,,,297068,0,0,0,0,0,0,0,297068
201,10602,106,02,1,,,,,3400,0,0,0,0,0,0,0,3400
201,10602,106,02,1,,,,,11439,0,0,0,0,0,0,0,11439
201,10602,106,02,1,,,,,36503,0,0,0,0,0,0,0,36503
201,10602,106,02,1,以前年度收入,,,,19478,0,0,0,0,0,0,0,19478
201,10602,106,02,1,一、以前年度應收(保留)數,,,,19478,0,0,0,0,0,0,0,19478
201,10602,106,02,1,,,,,19478,0,0,0,0,0,0,0,19478
201,10602,106,02,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10602,106,02,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,本年度收入,,,1,1224067,0,0,0,0,0,0,0,0,1224067
201,10603,106,03,1,,0402010301,一般賠償收入,1,1776,0,0,0,0,0,0,0,0,1776
201,10603,106,03,1,,0502010305,資料使用費,1,45394,0,0,0,0,0,0,0,0,45394
201,10603,106,03,1,,0702010105,權利金,1,703372,0,0,0,0,0,0,0,0,703372
201,10603,106,03,1,,0702010106,租金收入,1,371168,0,0,0,0,0,0,0,0,371168
201,10603,106,03,1,,0702010600,廢舊物資售價,1,3400,0,0,0,0,0,0,0,0,3400
201,10603,106,03,1,,1102010901,收回以前年度歲出,1,38270,0,0,0,0,0,0,0,0,38270
201,10603,106,03,1,,1102010909,其他雜項收入,1,60687,0,0,0,0,0,0,0,0,60687
201,10603,106,03,1,以前年度收入,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10603,106,03,1,一、以前年度應收(保留)數,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10603,106,03,1,,1102010901,收回以前年度歲出,1,32249,0,0,0,0,0,0,0,0,32249
201,10603,106,03,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10603,106,03,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,本年度收入,,,1,1411048,0,0,0,0,0,0,0,0,1411048
201,10604,106,04,1,,0402010301,一般賠償收入,1,1776,0,0,0,0,0,0,0,0,1776
201,10604,106,04,1,,0502010305,資料使用費,1,49376,0,0,0,0,0,0,0,0,49376
201,10604,106,04,1,,0702010105,權利金,1,703372,0,0,0,0,0,0,0,0,703372
201,10604,106,04,1,,0702010106,租金收入,1,482373,0,0,0,0,0,0,0,0,482373
201,10604,106,04,1,,0702010600,廢舊物資售價,1,9415,0,0,0,0,0,0,0,0,9415
201,10604,106,04,1,,1102010901,收回以前年度歲出,1,79196,0,0,0,0,0,0,0,0,79196
201,10604,106,04,1,,1102010909,其他雜項收入,1,85540,0,0,0,0,0,0,0,0,85540
201,10604,106,04,1,以前年度收入,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10604,106,04,1,一、以前年度應收(保留)數,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10604,106,04,1,,1102010901,收回以前年度歲出,1,32249,0,0,0,0,0,0,0,0,32249
201,10604,106,04,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10604,106,04,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,本年度收入,,,1,1534331,0,0,0,0,0,0,0,0,1534331
201,10605,106,05,1,,0402010301,一般賠償收入,1,28176,0,0,0,0,0,0,0,0,28176
201,10605,106,05,1,,0502010305,資料使用費,1,51248,0,0,0,0,0,0,0,0,51248
201,10605,106,05,1,,0702010105,權利金,1,703372,0,0,0,0,0,0,0,0,703372
201,10605,106,05,1,,0702010106,租金收入,1,554673,0,0,0,0,0,0,0,0,554673
201,10605,106,05,1,,0702010600,廢舊物資售價,1,9415,0,0,0,0,0,0,0,0,9415
201,10605,106,05,1,,1102010901,收回以前年度歲出,1,79196,0,0,0,0,0,0,0,0,79196
201,10605,106,05,1,,1102010909,其他雜項收入,1,108251,0,0,0,0,0,0,0,0,108251
201,10605,106,05,1,以前年度收入,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10605,106,05,1,一、以前年度應收(保留)數,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10605,106,05,1,,1102010901,收回以前年度歲出,1,32249,0,0,0,0,0,0,0,0,32249
201,10605,106,05,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0,0
201,10605,106,05,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0,0
201,10606,106,06,1,本年度收入,,,1,1643240,0,0,0,0,0,0,0,0,1643240
201,10606,106,06,1,,0402010301,一般賠償收入,1,28176,0,0,0,0,0,0,0,0,28176
201,10606,106,06,1,,0502010305,資料使用費,1,59098,0,0,0,0,0,0,0,0,59098
201,10606,106,06,1,,0702010105,權利金,1,703372,0,0,0,0,0,0,0,0,703372
201,10606,106,06,1,,0702010106,租金收入,1,624273,0,0,0,0,0,0,0,0,624273
201,10606,106,06,1,,0702010600,廢舊物資售價,1,9415,0,0,0,0,0,0,0,0,9415
201,10606,106,06,1,,1102010901,收回以前年度歲出,1,79196,0,0,0,0,0,0,0,0,79196
201,10606,106,06,1,,1102010909,其他雜項收入,1,139710,0,0,0,0,0,0,0,0,139710
201,10606,106,06,1,以前年度收入,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10606,106,06,1,一、以前年度應收(保留)數,,,1,32249,0,0,0,0,0,0,0,0,32249
201,10606,106,06,1,,1102010901,收回以前年度歲出,1,32249,0,0,0,0,0,0,0,0,32249
201,10606,106,06,1,二、以前年度收入納庫款,,,,0,0,0,0,0,0,0,0,0,0
201,10606,106,06,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0,0
201,10606,106,06,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0,0
201,10606,106,06,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0,0
201,10606,106,06,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
201,10606,106,06,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0,0
