id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,11005,110,05,1,5103,業務支出,10932156,65116882
201,11005,110,05,1,5104,獎補助支出,0,365500
201,11005,110,05,1,5105,財產損失,35855,277742
201,11005,110,05,1,5108,折舊、折耗及攤銷,3706138,18501572
201,11005,110,05,1,,收支餘絀,-2310259,-4336608
201,11006,110,06,1,410101,公庫撥入數,67629142,511118550
201,11006,110,06,1,4104,規費收入,0,179
201,11006,110,06,1,4105,財產收益,195367,2317201
201,11006,110,06,1,4108,其他收入,20684,124505
201,11006,110,06,1,510101,繳付公庫數,216051,2441885
201,11006,110,06,1,5102,人事支出,51857743,415422063
201,11006,110,06,1,5103,業務支出,11043638,76160520
201,11006,110,06,1,5104,獎補助支出,350800,716300
201,11006,110,06,1,5105,財產損失,1659,279401
201,11006,110,06,1,5108,折舊、折耗及攤銷,3744709,22246281
201,11006,110,06,1,,收支餘絀,630593,-3706015
201,11007,110,07,1,410101,公庫撥入數,69578850,580697400
201,11007,110,07,1,4104,規費收入,232,411
201,11007,110,07,1,4105,財產收益,106900,2424101
201,11007,110,07,1,4108,其他收入,33269,157774
201,11007,110,07,1,510101,繳付公庫數,140401,2582286
201,11007,110,07,1,5102,人事支出,49630831,465052894
201,11007,110,07,1,5103,業務支出,17515903,93676423
201,11007,110,07,1,5104,獎補助支出,0,716300
201,11007,110,07,1,5105,財產損失,2685,282086
201,11007,110,07,1,5108,折舊、折耗及攤銷,3907289,26153570
201,11007,110,07,1,,收支餘絀,-1477858,-5183873
201,11008,110,08,1,410101,公庫撥入數,59222078,639919478
201,11008,110,08,1,4103,罰款及賠償收入,456310,456310
201,11008,110,08,1,4104,規費收入,0,411
201,11008,110,08,1,4105,財產收益,82176,2506277
201,11008,110,08,1,4108,其他收入,34989,192763
201,11008,110,08,1,510101,繳付公庫數,573475,3155761
201,11008,110,08,1,5102,人事支出,46471976,511524870
201,11008,110,08,1,5103,業務支出,17140729,110817152
201,11008,110,08,1,5104,獎補助支出,0,716300
201,11008,110,08,1,5105,財產損失,10607,292693
201,11008,110,08,1,5108,折舊、折耗及攤銷,3741044,29894614
201,11008,110,08,1,,收支餘絀,-8142278,-13326151
201,11009,110,09,1,410101,公庫撥入數,82211976,722131454
201,11009,110,09,1,4103,罰款及賠償收入,0,456310
201,11009,110,09,1,4104,規費收入,266,677
201,11009,110,09,1,4105,財產收益,101467,2607744
201,11009,110,09,1,4108,其他收入,36222,228985
201,11009,110,09,1,510101,繳付公庫數,137955,3293716
201,11009,110,09,1,5102,人事支出,49388238,560913108
201,11009,110,09,1,5103,業務支出,21967928,132785080
201,11009,110,09,1,5104,獎補助支出,361100,1077400
201,11009,110,09,1,5105,財產損失,559,293252
201,11009,110,09,1,5108,折舊、折耗及攤銷,3808483,33703097
201,11009,110,09,1,,收支餘絀,6685668,-6640483
201,11010,110,10,1,410101,公庫撥入數,74345767,796477221
201,11010,110,10,1,4103,罰款及賠償收入,0,456310
201,11010,110,10,1,4104,規費收入,363,1040
201,11010,110,10,1,4105,財產收益,98800,2706544
201,11010,110,10,1,4108,其他收入,37689,266674
201,11010,110,10,1,510101,繳付公庫數,136852,3430568
201,11010,110,10,1,5102,人事支出,49741705,610654813
201,11010,110,10,1,5103,業務支出,22997833,155782913
201,11010,110,10,1,5104,獎補助支出,2846,1080246
201,11010,110,10,1,5105,財產損失,7346,300598
201,11010,110,10,1,5108,折舊、折耗及攤銷,6668747,40371844
201,11010,110,10,1,,收支餘絀,-5072710,-11713193
201,11011,110,11,1,410101,公庫撥入數,75687907,872165128
201,11011,110,11,1,4103,罰款及賠償收入,1418,457728
201,11011,110,11,1,4104,規費收入,36,1076
201,11011,110,11,1,4105,財產收益,56682,2763226
201,11011,110,11,1,4108,其他收入,53161,319835
201,11011,110,11,1,510101,繳付公庫數,111297,3541865
201,11011,110,11,1,5102,人事支出,47325292,657980105
201,11011,110,11,1,5103,業務支出,20635986,176418899
201,11011,110,11,1,5104,獎補助支出,18623,1098869
201,11011,110,11,1,5105,財產損失,9668,310266
201,11011,110,11,1,5108,折舊、折耗及攤銷,3466131,43837975
201,11011,110,11,1,,收支餘絀,4232207,-7480986
201,11012,110,12,1,410101,公庫撥入數,131816758,1003981886
201,11012,110,12,1,4103,罰款及賠償收入,0,457728
201,11012,110,12,1,4104,規費收入,0,1076
201,11012,110,12,1,4105,財產收益,-407030,2356196
201,11012,110,12,1,4108,其他收入,49790,369625
201,11012,110,12,1,510101,繳付公庫數,-357240,3184625
201,11012,110,12,1,5102,人事支出,32026887,690006992
201,11012,110,12,1,5103,業務支出,91587547,268006446
201,11012,110,12,1,5104,獎補助支出,0,1098869
201,11012,110,12,1,5105,財產損失,160163,470429
201,11012,110,12,1,5108,折舊、折耗及攤銷,3445433,47283408
201,11012,110,12,1,,收支餘絀,4596728,-2884258
201,11101,111,01,1,410101,公庫撥入數,190918510,190918510
201,11101,111,01,1,4104,規費收入,1026,1026
201,11101,111,01,1,4105,財產收益,653638,653638
201,11101,111,01,1,4108,其他收入,10927,10927
201,11101,111,01,1,510101,繳付公庫數,665591,665591
201,11101,111,01,1,5102,人事支出,147243863,147243863
201,11101,111,01,1,5103,業務支出,11756545,11756545
201,11101,111,01,1,5104,獎補助支出,348100,348100
201,11101,111,01,1,5108,折舊、折耗及攤銷,3516622,3516622
201,11101,111,01,1,,收支餘絀,28053380,28053380
201,11102,111,02,1,410101,公庫撥入數,2631404,193549914
201,11102,111,02,1,4103,罰款及賠償收入,45099,45099
201,11102,111,02,1,4104,規費收入,0,1026
201,11102,111,02,1,4105,財產收益,86211,739849
201,11102,111,02,1,4108,其他收入,20293,31220
201,11102,111,02,1,510101,繳付公庫數,151603,817194
201,11102,111,02,1,5102,人事支出,0,147243863
201,11102,111,02,1,5103,業務支出,0,11756545
201,11102,111,02,1,5104,獎補助支出,0,348100
201,11102,111,02,1,5105,財產損失,9365,9365
201,11102,111,02,1,5108,折舊、折耗及攤銷,3515367,7031989
201,11102,111,02,1,,收支餘絀,-893328,27160052
201,11103,111,03,1,410101,公庫撥入數,73136233,321841701
201,11103,111,03,1,4103,罰款及賠償收入,0,45099
201,11103,111,03,1,4104,規費收入,140,1166
201,11103,111,03,1,4105,財產收益,473380,1213229
201,11103,111,03,1,4108,其他收入,24388,55608
201,11103,111,03,1,510101,繳付公庫數,497908,1315102
201,11103,111,03,1,5102,人事支出,83347964,276905868
201,11103,111,03,1,5103,業務支出,16722225,34756565
201,11103,111,03,1,5104,獎補助支出,12680,359280
201,11103,111,03,1,5105,財產損失,2391,11756
201,11103,111,03,1,5108,折舊、折耗及攤銷,3516103,10548092
201,11103,111,03,1,,收支餘絀,-30465130,-739860
201,11104,111,04,1,410101,公庫撥入數,66437546,388279247
201,11104,111,04,1,4103,罰款及賠償收入,72000,117099
201,11104,111,04,1,4104,規費收入,87,1253
201,11104,111,04,1,4105,財產收益,231580,1444809
201,11104,111,04,1,4108,其他收入,23287,78895
201,11104,111,04,1,510101,繳付公庫數,326954,1642056
201,11104,111,04,1,5102,人事支出,48607572,325513440
201,11104,111,04,1,5103,業務支出,16797005,51553570
201,11104,111,04,1,5104,獎補助支出,0,359280
201,11104,111,04,1,5105,財產損失,0,11756
201,11104,111,04,1,5108,折舊、折耗及攤銷,3526536,14074628
201,11104,111,04,1,,收支餘絀,-2493567,-3233427
201,11105,111,05,1,410101,公庫撥入數,73626877,461906124
201,11105,111,05,1,4103,罰款及賠償收入,572523,689622
201,11105,111,05,1,4104,規費收入,188,1441
201,11105,111,05,1,4105,財產收益,139335,1584144
201,11105,111,05,1,4108,其他收入,27697,106592
201,11105,111,05,1,510101,繳付公庫數,739743,2381799
201,11105,111,05,1,5102,人事支出,53788111,379301551
201,11105,111,05,1,5103,業務支出,15184585,66738155
201,11105,111,05,1,5104,獎補助支出,343600,702880
201,11105,111,05,1,5105,財產損失,3468,15224
201,11105,111,05,1,5108,折舊、折耗及攤銷,3489201,17563829
201,11105,111,05,1,,收支餘絀,817912,-2415515
201,11106,111,06,1,410101,公庫撥入數,69411109,531317233
201,11106,111,06,1,4103,罰款及賠償收入,0,689622
201,11106,111,06,1,4104,規費收入,0,1441
201,11106,111,06,1,4105,財產收益,86100,1670244
201,11106,111,06,1,4108,其他收入,29559,136151
201,11106,111,06,1,510101,繳付公庫數,115659,2497458
201,11106,111,06,1,5102,人事支出,51812201,431113752
201,11106,111,06,1,5103,業務支出,11872724,78610879
201,11106,111,06,1,5104,獎補助支出,10670,713550
201,11106,111,06,1,5105,財產損失,553,15777
201,11106,111,06,1,5108,折舊、折耗及攤銷,3485469,21049298
201,11106,111,06,1,,收支餘絀,2229492,-186023
201,11107,111,07,1,410101,公庫撥入數,68964348,600281581
201,11107,111,07,1,4103,罰款及賠償收入,0,689622
201,11107,111,07,1,4104,規費收入,0,1441
201,11107,111,07,1,4105,財產收益,-15752,1654492
201,11107,111,07,1,4108,其他收入,31649,167800
201,11107,111,07,1,510101,繳付公庫數,15897,2513355
201,11107,111,07,1,5102,人事支出,48179854,479293606
201,11107,111,07,1,5103,業務支出,18509189,97120068
201,11107,111,07,1,5104,獎補助支出,0,713550
201,11107,111,07,1,5105,財產損失,1566,17343
201,11107,111,07,1,5108,折舊、折耗及攤銷,3567534,24616832
201,11107,111,07,1,,收支餘絀,-1293795,-1479818
201,11108,111,08,1,410101,公庫撥入數,74605563,674887144
201,11108,111,08,1,4103,罰款及賠償收入,0,689622
201,11108,111,08,1,4104,規費收入,0,1441
201,11108,111,08,1,4105,財產收益,79502,1733994
201,11108,111,08,1,4108,其他收入,26200,194000
201,11108,111,08,1,510101,繳付公庫數,105702,2619057
201,11108,111,08,1,5102,人事支出,48421659,527715265
201,11108,111,08,1,5103,業務支出,19926444,117046512
201,11108,111,08,1,5104,獎補助支出,342100,1055650
201,11108,111,08,1,5105,財產損失,36388,53731
201,11108,111,08,1,5108,折舊、折耗及攤銷,3568429,28185261
201,11108,111,08,1,,收支餘絀,2310543,830725
201,11109,111,09,1,410101,公庫撥入數,75986511,750873655
201,11109,111,09,1,4103,罰款及賠償收入,0,689622
