id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
501,112," "," ",7," ",6305011900,2720," 捐助法律扶助基金會辦理相關媒體宣導製作、託播及刊登等經費2,720千元，係為辦理相關社群網路、形象廣告及個案故事微影片等。"
501,112," "," "," "," ",對財團法人法律扶助基金會捐助," "," "
501,113,4,,,,0005000000,司法院主管,27900,
501,113,,1,,,0005010000,司法院,27900,
501,113,,,,,3405010000,司法支出,25350,
501,113,,,1,,3405010100,一般行政,25350,"1.辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費17,350千元，係為宣導國民法官、勞動事件法、訴訟外紛爭解決機制、少年事件處理法、行政訴訟法、憲法訴訟法、金字塔訴訟等制度。 
2.辦理法律教育推廣宣導之相關媒體宣導製作、託播及刊登等經費8,000千元，係為執行校園法治教育推廣、分眾法治教育溝通及多元網路平台推播，並透過司法影展、法治教育影音等傳遞法普知識。"
501,113,,,,,6305010000,福利服務支出,2550,
501,113,,,7,,6305011900,對財團法人法律扶助基金會捐助,2550,"捐助法律扶助基金會辦理相關媒體宣導製作、託播及刊登等經費2,550千元，係為辦理相關社群網路、形象廣告及個案故事微影片等。"
501,112,4," "," "," ",0005000000," "," "
501,112," "," "," "," ",司法院主管," "," "
501,112," ",1," "," ",0005010000,43600," "
501,112," "," "," "," ",司法院," "," "
501,112," "," "," "," ",3405010000,40200," "
501,112," "," "," "," ",司法支出," "," "
501,112," "," ",1," ",3405010100,40200,"1.辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費26,000千元，係為宣導國民法官、勞動事件法、訴訟外紛爭解決機制、少年事件處理法、行政訴訟法、憲法訴訟法、金字塔訴訟等制度。
2.辦理法律教育推廣宣導之相關媒體宣導製作、託播及刊登等經費14,200千元，係為執行校園法治教育推廣、分眾法治教育溝通及多元網路平台推播，並透過司法影展、法治教育影音等傳遞法普知識。"
501,112," "," "," "," ",一般行政," "," "
501,112," "," "," "," ",6305010000,3400," "
501,112," "," "," "," ",福利服務支出," "," "
501,112," "," ",7," ",6305011900,3400,"捐助法律扶助基金會辦理相關媒體宣導製作、託播及刊登等經費3,400千元，係為辦理相關社群網路、形象廣告及個案故事微影片等。"
501,112," "," "," "," ",對財團法人法律扶助基金會捐助," "," "
501,113,4," "," "," ",0005000000," "," "
501,113," "," "," "," ",司法院主管," "," "
501,113," ",1," "," ",0005010000,37200," "
501,113," "," "," "," ",司法院," "," "
501,113," "," "," "," ",3405010000,33800," "
501,113," "," "," "," ",司法支出," "," "
501,113," "," ",1," ",3405010100,33800,"1.辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費24,000千元，係為宣導國民法官、勞動事件法、訴訟外紛爭解決機制、少年事件處理法、行政訴訟法、憲法訴訟法、金字塔訴訟等制度。
2.辦理法律教育推廣宣導之相關媒體宣導製作、託播及刊登等經費9,800千元，係為執行校園法治教育推廣、分眾法治教育溝通及多元網路平台推播，並透過司法影展、法治教育影音等傳遞法普知識。"
501,113," "," "," "," ",一般行政," "," "
501,113," "," "," "," ",6305010000,3400," "
501,113," "," "," "," ",福利服務支出," "," "
501,113," "," ",7," ",6305011900,3400," 捐助法律扶助基金會辦理相關媒體宣導製作、託播及刊登等經費3,400千元，係為辦理相關社群網路、形象廣告及個案故事微影片等。"
501,113," "," "," "," ",對財團法人法律扶助基金會捐助," "," "
501,114,4,,,,0005000000,司法院主管,25100,
501,114,,1,,,0005010000,司法院,25100,
501,114,,,,,3405010000,司法支出,23500,
501,114,,,1,,3405010100,一般行政,23500,"1.辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費16,000千元，係為宣導勞動事件法、民事訴訟法、調解法新制、線上聲請強制執行-電子債權憑證新制、ADR訴訟外紛爭解決機制、國民法官制度、行政訴訟法、少年事件處理法、家事事件法、精神衛生法專家參審制度及司法資訊電子化等便民措施、法官多元進用等。 
2.辦理法律教育推廣宣導之相關媒體宣導製作、託播及刊登等經費7,500千元，係為執行校園法治教育推廣、分眾法治教育溝通及多元網路平台推播，並透過司法影展、法治教育影音等傳遞法普知識。"
501,114,,,,,6305010000,福利服務支出,1600,
501,114,,,7,,6305011900,對財團法人法律扶助基金會捐助,1600,"捐助法律扶助基金會辦理相關媒體宣導製作、託播及刊登等經費1,600千元，係為辦理個案故事影片等拍攝製作及廣播、平面、網路等廣告托播。"
2001,112,11,0020000000,,,,,
2001,112,,教育部主管,,,,,
2001,112,,0020010000,1,61182,,,
2001,112,,教育部,,,,,
2001,112,,5120010000,,61182,,,
2001,112,,教育支出,,,,,
2001,112,,5120010100,,800,1,辦理推展一般教育及編印文教書刊，有關本部重要政策、制度變革等素材以本部自媒體宣導管道推廣及MATA獎大專校院學生原住民族主題影音競賽媒體宣導，相關規劃拍攝、剪輯宣傳影片、運用社群（臉書、IG等）、電視臺宣傳等經費800千元。,
2001,112,,一般行政,,,,,
2001,112,,5120010200,,17437,2,,
2001,112,,高等教育,,,,,
2001,112,,5120010201,,5582,,"1.辦理推動及改進大學招生制度，相關活動之宣傳費，含網路平臺推廣、網路行銷費等經費428千元。2.辦理強化人才培育及產學合作機制，大學校院藝術與設計人才養成等計畫，行銷推廣所需之宣傳費，含網路平臺推廣、網路行銷費等經費550千元。3.辦理改善教學研究環境及提升高等教育行政服務品質，各項高等教育政策媒體宣導等經費4,604千元。",1
2001,112,,高等教育行政及督導,,,,,
2001,112,,5120010202,,11855,,"1.辦理強化技職教育學制及特色，推動技職教育及職業試探活動、自學進修專科學校學力鑑定考試、五專多元入學等媒體宣導經費計9,209千元。2.辦理推動產學合作人才培育與技術研發，高教創新刊物、國家講座主持人獎、國家產學大師獎暨學術獎頒獎典禮、全國技專校院學生實務專題製作競賽暨成果展、技專校院黑客松競賽等媒體宣導經費計2,646千元。",2
2001,112,,技術職業教育行政及督導,,,,,
2001,112,,5120010300,,7127,3,,
2001,112,,中等教育,,,,,
2001,112,,5120010301,,7127,,"1.辦理推行藝術教育，表演藝術教育線上觀摩展演平臺、藝術教育貢獻獎等藝術與美感教育媒體宣導經費1,253千元。2.辦理獎勵優良教師，師鐸獎、教育奉獻獎及40年資深優良教師選拔及表揚活動，相關媒體宣導製作、託播及刊登等經費84千元。3.辦理師資職前培育，相關媒體宣導製作、託播及刊登等經費4,000千元。4.辦理教師專業發展，規劃及推動教師專業發展支持系統等相關事項，相關媒體宣導製作、託播及刊登等經費1,790千元。",1
2001,112,,師資培育與藝術教育行政及督導,,,,,
2001,112,,5120010500,,10888,4,,
2001,112,,終身教育,,,,,
2001,112,,5120010501,,10720,,"1.辦理推動終身教育及學習網絡，推動終身學習計畫、活動、表揚等，相關媒體宣導製作、託播及刊登等經費400千元。2.辦理推行家庭教育，國際家庭日、祖父母節、家庭教育計畫、活動及學習資源等，相關媒體宣導製作、託播及刊登等經費5,800千元。3.辦理推動高齡教育，樂齡學習活動等，相關媒體宣導製作、託播及刊登等經費300千元。4.辦理本國語言文字標準訂定與推廣，閩南語語言能力認證、本土語言貢獻獎及本土語言教育推廣活動等，相關媒體宣導製作、託播及刊登等經費1,652千元。5.辦理建立終身學習推動組織，國立社教機構推動終身學習，相關媒體宣導製作、託播及刊登等經費2,568千元。",1
2001,112,,終身教育行政及督導,,,,,
2001,112,,5120010507,,168,,辦理視覺藝術教育活動，相關展覽、全國學生美術比賽及巡迴展推廣活動，相關媒體宣導製作、託播及刊登等經費168千元。,2
2001,112,,國立臺灣藝術教育館行政及推展,,,,,
2001,112,,5120010700,,11801,5,,
2001,112,,學務與輔導,,,,,
