id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,預算數_原預算數,預算數_預算增減數,預算數_合計1,決算數_實現數,決算數_應收數,決算數_保留數,決算數_合計2,預決算比較增減數,決算數占預算數之比率
240,111,111,7,,,,1200000000-8,其他收入,,,136807000,0,136807000,114598587,0,0,114598587,-22208413,83.77
240,111,111,,5,,,1202400000-6,中央研究院,,,136807000,0,136807000,114598587,0,0,114598587,-22208413,83.77
240,111,111,,,1,,1202400200-5,雜項收入,,,136807000,0,136807000,114598587,0,0,114598587,-22208413,83.77
240,111,111,,,,1,1202400201-8,收回以前年度歲出,,,2000000,0,2000000,2872686,0,0,2872686,872686,143.63
240,111,111,,,,2,1202400210-9,其他雜項收入,,,134807000,0,134807000,111725901,0,0,111725901,-23081099,82.88
240,111,111,,,,,經常門小計,,,,146610000,0,146610000,130407226,0,0,130407226,-16202774,88.95
240,111,111,,,,,資本門小計,,0,0,0,0,0,0,0,0,0,0,0.00
240,111,111,,,,,合計,,,,146610000,0,146610000,130407226,0,0,130407226,-16202774,88.95
240,112,112,2,,,,0400000000-2,罰款及賠償收入,,,5000000,0,5000000,1738969,0,0,1738969,-3261031,34.78
240,112,112,,4,,,0402400000-0,中央研究院,,,5000000,0,5000000,1738969,0,0,1738969,-3261031,34.78
240,112,112,,,1,,0402400300-4,賠償收入,,,5000000,0,5000000,1738969,0,0,1738969,-3261031,34.78
240,112,112,,,,1,0402400301-7,一般賠償收入,,,5000000,0,5000000,1738969,0,0,1738969,-3261031,34.78
240,112,112,4,,,,0700000000-9,財產收入,,,5234000,0,5234000,6890602,0,0,6890602,1656602,131.65
240,112,112,,5,,,0702400000-7,中央研究院,,,5234000,0,5234000,6890602,0,0,6890602,1656602,131.65
240,112,112,,,1,,0702400100-1,財產孳息,,,4234000,0,4234000,3984405,0,0,3984405,-249595,94.10
240,112,112,,,,1,0702400103-0,租金收入,,,4234000,0,4234000,3982158,0,0,3982158,-251842,94.05
240,112,112,,,,2,0702400101-4,利息收入,,,0,0,0,2247,0,0,2247,2247,0.00
240,112,112,,,2,,0702400500-0,廢舊物資售價,,,1000000,0,1000000,2906197,0,0,2906197,1906197,290.62
240,112,112,7,,,,1200000000-8,其他收入,,,139437000,0,139437000,129986562,0,0,129986562,-9450438,93.22
240,112,112,,5,,,1202400000-6,中央研究院,,,139437000,0,139437000,129986562,0,0,129986562,-9450438,93.22
