id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額
201,10703,107,03,2,1405,機械及設備,21827230
201,10703,107,03,2,1406,交通及運輸設備,40059446
201,10703,107,03,2,1407,雜項設備,28732258
201,10703,107,03,2,1410,收藏品及傳承資產,3768088072
201,10703,107,03,2,1601,無形資產,32399797
201,10703,107,03,2,3601,資本資產總額,7716825573
201,10704,107,04,2,1401,土地,3803806730
201,10704,107,04,2,1404,房屋建築及設備,21814725
201,10704,107,04,2,1405,機械及設備,25937160
201,10704,107,04,2,1406,交通及運輸設備,39242826
201,10704,107,04,2,1407,雜項設備,29958382
201,10704,107,04,2,1410,收藏品及傳承資產,3768088072
201,10704,107,04,2,1601,無形資產,31892914
201,10704,107,04,2,3601,資本資產總額,7720740809
201,10705,107,05,2,1401,土地,3803806730
201,10705,107,05,2,1404,房屋建築及設備,21717410
201,10705,107,05,2,1405,機械及設備,25158441
201,10705,107,05,2,1406,交通及運輸設備,38441823
201,10705,107,05,2,1407,雜項設備,29680251
201,10705,107,05,2,1410,收藏品及傳承資產,3768088072
201,10705,107,05,2,1601,無形資產,31286337
201,10705,107,05,2,3601,資本資產總額,7718179064
201,10706,107,06,2,1401,土地,3803806730
201,10706,107,06,2,1404,房屋建築及設備,21620095
201,10706,107,06,2,1405,機械及設備,25743225
201,10706,107,06,2,1406,交通及運輸設備,37664083
201,10706,107,06,2,1407,雜項設備,29080091
201,10706,107,06,2,1410,收藏品及傳承資產,3768088072
201,10706,107,06,2,1601,無形資產,30773720
201,10706,107,06,2,3601,資本資產總額,7716776016
201,10707,107,07,2,1401,土地,3803806730
201,10707,107,07,2,1404,房屋建築及設備,21522780
201,10707,107,07,2,1405,機械及設備,25764714
201,10707,107,07,2,1406,交通及運輸設備,36844983
201,10707,107,07,2,1407,雜項設備,28555425
201,10707,107,07,2,1410,收藏品及傳承資產,3768088072
201,10707,107,07,2,1601,無形資產,30174043
201,10707,107,07,2,3601,資本資產總額,7714756747
201,10708,107,08,2,1401,土地,3803806730
201,10708,107,08,2,1404,房屋建築及設備,21425465
201,10708,107,08,2,1405,機械及設備,26324570
201,10708,107,08,2,1406,交通及運輸設備,36124138
201,10708,107,08,2,1407,雜項設備,28249413
201,10708,107,08,2,1410,收藏品及傳承資產,3768088072
201,10708,107,08,2,1601,無形資產,29574366
201,10708,107,08,2,3601,資本資產總額,7713592754
201,10709,107,09,2,1401,土地,3803806730
201,10709,107,09,2,1404,房屋建築及設備,21328150
201,10709,107,09,2,1405,機械及設備,25712505
201,10709,107,09,2,1406,交通及運輸設備,35341250
201,10709,107,09,2,1407,雜項設備,27656543
201,10709,107,09,2,1410,收藏品及傳承資產,3768088072
201,10709,107,09,2,1601,無形資產,29379749
201,10709,107,09,2,3601,資本資產總額,7711312999
201,10710,107,10,2,1401,土地,3803806730
201,10710,107,10,2,1404,房屋建築及設備,21230835
201,10710,107,10,2,1405,機械及設備,26459227
201,10710,107,10,2,1406,交通及運輸設備,34736006
201,10710,107,10,2,1407,雜項設備,27154034
201,10710,107,10,2,1410,收藏品及傳承資產,3768088072
201,10710,107,10,2,1601,無形資產,28776777
201,10710,107,10,2,3601,資本資產總額,7710251681
201,10711,107,11,2,1401,土地,3803806730
201,10711,107,11,2,1404,房屋建築及設備,21133520
201,10711,107,11,2,1405,機械及設備,29051479
201,10711,107,11,2,1406,交通及運輸設備,34106360
201,10711,107,11,2,1407,雜項設備,26544031
201,10711,107,11,2,1410,收藏品及傳承資產,3768088072
201,10711,107,11,2,1601,無形資產,29082980
201,10711,107,11,2,3601,資本資產總額,7711813172
201,10712,107,12,2,1401,土地,3803806730
201,10712,107,12,2,1404,房屋建築及設備,21036033
201,10712,107,12,2,1405,機械及設備,33899796
201,10712,107,12,2,1406,交通及運輸設備,33609870
201,10712,107,12,2,1407,雜項設備,27273962
201,10712,107,12,2,1410,收藏品及傳承資產,3768088072
201,10712,107,12,2,1601,無形資產,36690518
201,10712,107,12,2,3601,資本資產總額,7724404981
201,10801,108,01,2,1401,土地,3803806730
201,10801,108,01,2,1404,房屋建築及設備,20940671
201,10801,108,01,2,1405,機械及設備,33096317
201,10801,108,01,2,1406,交通及運輸設備,33006434
201,10801,108,01,2,1407,雜項設備,26751729
201,10801,108,01,2,1410,收藏品及傳承資產,3768088072
201,10801,108,01,2,1601,無形資產,36109216
201,10801,108,01,2,3601,資本資產總額,7721799169
201,10802,108,02,2,1401,土地,3769167687
201,10802,108,02,2,1404,房屋建築及設備,21142019
201,10802,108,02,2,1405,機械及設備,32577843
201,10802,108,02,2,1406,交通及運輸設備,32380028
201,10802,108,02,2,1407,雜項設備,26350459
201,10802,108,02,2,1410,收藏品及傳承資產,3768088072
201,10802,108,02,2,1601,無形資產,35484796
201,10802,108,02,2,3601,資本資產總額,7685190904
201,10803,108,03,2,1401,土地,3769167687
201,10803,108,03,2,1404,房屋建築及設備,21040800
201,10803,108,03,2,1405,機械及設備,31777886
201,10803,108,03,2,1406,交通及運輸設備,31815853
201,10803,108,03,2,1407,雜項設備,25804193
201,10803,108,03,2,1410,收藏品及傳承資產,3768088072
201,10803,108,03,2,1601,無形資產,34923376
201,10803,108,03,2,3601,資本資產總額,7682617867
201,10804,108,04,2,1401,土地,3769167687
