id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,10611,106,11,1,410101,公庫撥入數,101411173,931599789
201,10611,106,11,1,4103,罰款及賠償收入,1951053,2621537
201,10611,106,11,1,4104,規費收入,1968,87309
201,10611,106,11,1,4105,財產收入,91060,7139290
201,10611,106,11,1,4108,其他收入,39398,387219
201,10611,106,11,1,510101,繳付公庫數,134426,8346139
201,10611,106,11,1,5102,人事支出,40269653,671457961
201,10611,106,11,1,5103,業務支出,54648158,238719220
201,10611,106,11,1,5104,設備及投資支出,4713548,13125475
201,10611,106,11,1,5105,獎補助支出,10200,1168000
201,10611,106,11,1,,收支餘絀,3718667,9018349
201,10701,107,01,1,410101,公庫撥入數,99712541,99712541
201,10701,107,01,1,4105,財產收入,308609,308609
201,10701,107,01,1,4108,其他收入,36359,36359
201,10701,107,01,1,510101,繳付公庫數,344968,344968
201,10701,107,01,1,5102,人事支出,87408768,87408768
201,10701,107,01,1,5103,業務支出,3802171,3802171
201,10701,107,01,1,5104,設備及投資支出,36000,36000
201,10701,107,01,1,,收支餘絀,8465602,8465602
201,10702,107,02,1,410101,公庫撥入數,151620462,251333003
201,10702,107,02,1,4103,罰款及賠償收入,5100,5100
201,10702,107,02,1,4104,規費收入,126,126
201,10702,107,02,1,4105,財產收入,71700,380309
201,10702,107,02,1,4108,其他收入,26070,62429
201,10702,107,02,1,510101,繳付公庫數,102996,447964
201,10702,107,02,1,5102,人事支出,109095250,196504018
201,10702,107,02,1,5103,業務支出,20454768,24256939
201,10702,107,02,1,5104,設備及投資支出,310895,346895
201,10702,107,02,1,5105,獎補助支出,367000,367000
201,10702,107,02,1,,收支餘絀,21392549,29858151
201,10703,107,03,1,410101,公庫撥入數,65609009,316942012
201,10703,107,03,1,4103,罰款及賠償收入,0,5100
201,10703,107,03,1,4104,規費收入,524,650
201,10703,107,03,1,4105,財產收入,74400,454709
201,10703,107,03,1,4108,其他收入,34176,96605
201,10703,107,03,1,510101,繳付公庫數,109100,557064
201,10703,107,03,1,5102,人事支出,51037379,247541397
201,10703,107,03,1,5103,業務支出,12314373,36571312
201,10703,107,03,1,5104,設備及投資支出,426709,773604
201,10703,107,03,1,5105,獎補助支出,0,367000
201,10703,107,03,1,,收支餘絀,1830548,31688699
201,10704,107,04,1,410101,公庫撥入數,69477343,386419355
201,10704,107,04,1,4103,罰款及賠償收入,0,5100
201,10704,107,04,1,4104,規費收入,200,850
201,10704,107,04,1,4105,財產收入,126029,580738
201,10704,107,04,1,4108,其他收入,24632,121237
201,10704,107,04,1,510101,繳付公庫數,150861,707925
201,10704,107,04,1,5102,人事支出,51350337,298891734
201,10704,107,04,1,5103,業務支出,16720707,53292019
201,10704,107,04,1,5104,設備及投資支出,3499950,4273554
201,10704,107,04,1,5105,獎補助支出,0,367000
201,10704,107,04,1,,收支餘絀,-2093651,29595048
201,10705,107,05,1,410101,公庫撥入數,61312686,447732041
201,10705,107,05,1,4103,罰款及賠償收入,0,5100
201,10705,107,05,1,4104,規費收入,2202,3052
201,10705,107,05,1,4105,財產收入,74700,655438
201,10705,107,05,1,4108,其他收入,37180,158417
201,10705,107,05,1,510101,繳付公庫數,114082,822007
201,10705,107,05,1,5102,人事支出,71309491,370201225
201,10705,107,05,1,5103,業務支出,13389181,66681200
201,10705,107,05,1,5104,設備及投資支出,420145,4693699
201,10705,107,05,1,5105,獎補助支出,0,367000
201,10705,107,05,1,,收支餘絀,-23806131,5788917
201,10706,107,06,1,410101,公庫撥入數,76574042,524306083
201,10706,107,06,1,4103,罰款及賠償收入,0,5100
201,10706,107,06,1,4104,規費收入,20,3072
201,10706,107,06,1,4105,財產收入,73200,728638
201,10706,107,06,1,4108,其他收入,24035,182452
201,10706,107,06,1,510101,繳付公庫數,747255,1569262
201,10706,107,06,1,5102,人事支出,56868309,427069534
201,10706,107,06,1,5103,業務支出,16216607,82897807
201,10706,107,06,1,5104,設備及投資支出,1548832,6242531
201,10706,107,06,1,5105,獎補助支出,397550,764550
201,10706,107,06,1,,收支餘絀,892744,6681661
201,10707,107,07,1,410101,公庫撥入數,74141664,598447747
201,10707,107,07,1,4103,罰款及賠償收入,0,5100
201,10707,107,07,1,4104,規費收入,0,3072
201,10707,107,07,1,4105,財產收入,611318,1339956
201,10707,107,07,1,4108,其他收入,27011,209463
201,10707,107,07,1,510101,繳付公庫數,1787799,3357061
201,10707,107,07,1,5102,人事支出,50454775,477524309
201,10707,107,07,1,5103,業務支出,21354796,104252603
201,10707,107,07,1,5104,設備及投資支出,837014,7079545
201,10707,107,07,1,5105,獎補助支出,0,764550
201,10707,107,07,1,,收支餘絀,345609,7027270
201,10708,107,08,1,410101,公庫撥入數,67394264,665842011
201,10708,107,08,1,4103,罰款及賠償收入,0,5100
201,10708,107,08,1,4104,規費收入,0,3072
201,10708,107,08,1,4105,財產收入,69000,1408956
201,10708,107,08,1,4108,其他收入,21782,231245
201,10708,107,08,1,510101,繳付公庫數,90782,3447843
201,10708,107,08,1,5102,人事支出,49306584,526830893
201,10708,107,08,1,5103,業務支出,15690657,119943260
201,10708,107,08,1,5104,設備及投資支出,1755617,8835162
201,10708,107,08,1,5105,獎補助支出,0,764550
201,10708,107,08,1,,收支餘絀,641406,7668676
201,10709,107,09,1,410101,公庫撥入數,69487633,735329644
201,10709,107,09,1,4103,罰款及賠償收入,0,5100
201,10709,107,09,1,4104,規費收入,368,3440
201,10709,107,09,1,4105,財產收入,68100,1477056
201,10709,107,09,1,4108,其他收入,65329,296574
201,10709,107,09,1,510101,繳付公庫數,133797,3581640
201,10709,107,09,1,5102,人事支出,55088704,581919597
201,10709,107,09,1,5103,業務支出,12359793,132303053
201,10709,107,09,1,5104,設備及投資支出,386880,9222042
201,10709,107,09,1,5105,獎補助支出,361500,1126050
201,10709,107,09,1,,收支餘絀,1290756,8959432
201,10710,107,10,1,410101,公庫撥入數,82347368,817677012
201,10710,107,10,1,4103,罰款及賠償收入,5628,10728
201,10710,107,10,1,4104,規費收入,0,3440
201,10710,107,10,1,4105,財產收入,161804,1638860
201,10710,107,10,1,4108,其他收入,40771,337345
201,10710,107,10,1,510101,繳付公庫數,208203,3789843
201,10710,107,10,1,5102,人事支出,49347856,631267453
201,10710,107,10,1,5103,業務支出,27682589,159985642
201,10710,107,10,1,5104,設備及投資支出,1835217,11057259
201,10710,107,10,1,5105,獎補助支出,1640,1127690
201,10710,107,10,1,,收支餘絀,3480066,12439498
201,10711,107,11,1,410101,公庫撥入數,67657774,885334786
201,10711,107,11,1,4103,罰款及賠償收入,41616,52344
201,10711,107,11,1,4104,規費收入,1012,4452
201,10711,107,11,1,4105,財產收入,374794,2013654
201,10711,107,11,1,4108,其他收入,55455,392800
