id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,分計畫編號,分計畫名稱,經常支出_人事費,經常支出_業務費,經常支出_獎補助費,經常支出_債務費,經常支出_小計,資本資出_業務費,資本資出_設備及投資,資本資出_獎補助費,資本資出_小計,合計,備註
240,106,106,,,,2,5202401023-2,"主題研究與人才
培育",,,0,1513191004,1392197625,0,2905388629,0,306695207,0,306695207,3212083836,
240,106,106,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,3350910981,117528682,0,3468439663,0,826226755,0,826226755,4294666418,
240,106,106,,,,1,5202402010-6,數理科學研究,,,0,1205940872,33631345,0,1239572217,0,356874075,0,356874075,1596446292,
240,106,106,,,,2,5202402020-0,生命科學研究,,,0,1452295026,63142980,0,1515438006,0,287556707,0,287556707,1802994713,
240,106,106,,,,3,5202402030-3,"人文及社會科學
研究",,,0,692675083,20754357,0,713429440,0,181795973,0,181795973,895225413,
240,106,106,,,4,,5202403000-8,國家生技研究園區,,,0,0,0,0,0,0,1171455000,0,1171455000,1171455000,
240,106,106,,,5,,5202409000-0,一般建築及設備,,,0,0,0,0,0,0,1483378940,0,1483378940,1483378940,
240,106,106,,,,1,5202409001-3,土地購置,,,0,0,0,0,0,0,1457986461,0,1457986461,1457986461,
240,106,106,,,,2,5202409002-6,營建工程,,,0,0,0,0,0,0,25392479,0,25392479,25392479,
240,106,106,,,,,,小計,,,2491095432,5365482301,1610449087,0,9467026820,0,3922361387,0,3922361387,13389388207,
240,106,106,1,,,,0002000000-8,總統府主管,,,0,25738172,1359706,0,27097878,0,358030135,0,358030135,385128013,
240,106,106,,5,,,0002400000-9,中央研究院,,,0,25738172,1359706,0,27097878,0,358030135,0,358030135,385128013,
240,106,106,,,1,,5202400100-6,一般行政,,,0,49400,0,0,49400,0,0,0,0,49400,
240,106,106,,,2,,5202401000-7,"一般學術研究及評
議",,,0,5763813,1359706,0,7123519,0,65704959,0,65704959,72828478,
240,106,106,,,,1,5202401020-4,"學術審議及研究
獎助",,,0,630000,1359706,0,1989706,0,33384632,0,33384632,35374338,
240,106,106,,,,2,5202401023-2,"主題研究與人才
培育",,,0,5133813,0,0,5133813,0,32320327,0,32320327,37454140,
240,106,106,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,19924959,0,0,19924959,0,142111655,0,142111655,162036614,
240,106,106,,,,1,5202402010-6,數理科學研究,,,0,12051414,0,0,12051414,0,75127594,0,75127594,87179008,
240,106,106,,,,2,5202402020-0,生命科學研究,,,0,3250545,0,0,3250545,0,47875639,0,47875639,51126184,
240,106,106,,,,3,5202402030-3,"人文及社會科學
研究",,,0,4623000,0,0,4623000,0,19108422,0,19108422,23731422,
240,106,106,,,5,,5202409000-0,一般建築及設備,,,0,0,0,0,0,0,150213521,0,150213521,150213521,
240,106,106,,,,2,5202409002-6,營建工程,,,0,0,0,0,0,0,150213521,0,150213521,150213521,
240,106,106,,,,,,保留數,,,0,25738172,1359706,0,27097878,0,358030135,0,358030135,385128013,
240,106,106,,,,,,合計,,,2491095432,5391220473,1611808793,0,9494124698,0,4280391522,0,4280391522,13774516220,
240,107,107,1,,,,0002000000-8,總統府主管,,,2465122798,5371566226,1661832591,0,9498521615,0,1963676041,0,1963676041,11462197656,
240,107,107,,5,,,0002400000-9,中央研究院,,,2465122798,5371566226,1661832591,0,9498521615,0,1963676041,0,1963676041,11462197656,
240,107,107,,,1,,5202400100-6,一般行政,,,179133751,59487669,284000,0,238905420,0,1188316,0,1188316,240093736,
240,107,107,,,2,,5202401000-7,"一般學術研究及評
議",,,2285989047,2069701004,1342888353,0,5698578404,0,628796626,0,628796626,6327375030,
240,107,107,,,,1,5202401020-4,"學術審議及研究
獎助",,,2285989047,572922901,91435494,0,2950347442,0,290717839,0,290717839,3241065281,
240,107,107,,,,2,5202401023-2,"主題研究與人才
培育",,,0,1496778103,1251452859,0,2748230962,0,338078787,0,338078787,3086309749,
240,107,107,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,3242377553,107967238,0,3350344791,0,836620806,0,836620806,4186965597,
240,107,107,,,,1,5202402010-6,數理科學研究,,,0,1167726709,31267683,0,1198994392,0,365845286,0,365845286,1564839678,
240,107,107,,,,2,5202402020-0,生命科學研究,,,0,1403718338,56552325,0,1460270663,0,292225909,0,292225909,1752496572,
240,107,107,,,,3,5202402030-3,"人文及社會科學
研究",,,0,670932506,20147230,0,691079736,0,178549611,0,178549611,869629347,
240,107,107,,,4,,5202403000-8,國家生技研究園區,,,0,0,210693000,0,210693000,0,448634000,0,448634000,659327000,
240,107,107,,,5,,5202404000-3,南部院區,,,0,0,0,0,0,0,44769086,0,44769086,44769086,
240,107,107,,,6,,5202409000-0,一般建築及設備,,,0,0,0,0,0,0,3667207,0,3667207,3667207,
240,107,107,,,,3,5202409011-7,交通及運輸設備,,,0,0,0,0,0,0,3667207,0,3667207,3667207,
240,107,107,,,,,,小計,,,2465122798,5371566226,1661832591,0,9498521615,0,1963676041,0,1963676041,11462197656,
240,107,107,1,,,,0002000000-8,總統府主管,,,0,44045862,1483606,0,45529468,0,344136097,0,344136097,389665565,
240,107,107,,5,,,0002400000-9,中央研究院,,,0,44045862,1483606,0,45529468,0,344136097,0,344136097,389665565,
240,107,107,,,1,,5202400100-6,一般行政,,,0,1546000,0,0,1546000,0,0,0,0,1546000,
240,107,107,,,2,,5202401000-7,"一般學術研究及評
議",,,0,25014415,1483606,0,26498021,0,58107891,0,58107891,84605912,
240,107,107,,,,1,5202401020-4,"學術審議及研究
獎助",,,0,4044927,1483606,0,5528533,0,31758391,0,31758391,37286924,
240,107,107,,,,2,5202401023-2,"主題研究與人才
培育",,,0,20969488,0,0,20969488,0,26349500,0,26349500,47318988,
240,107,107,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,17485447,0,0,17485447,0,84783292,0,84783292,102268739,
240,107,107,,,,1,5202402010-6,數理科學研究,,,0,7744807,0,0,7744807,0,47310778,0,47310778,55055585,
240,107,107,,,,2,5202402020-0,生命科學研究,,,0,3523688,0,0,3523688,0,12590254,0,12590254,16113942,
240,107,107,,,,3,5202402030-3,"人文及社會科學
研究",,,0,6216952,0,0,6216952,0,24882260,0,24882260,31099212,
240,107,107,,,5,,5202404000-3,南部院區,,,0,0,0,0,0,0,201244914,0,201244914,201244914,
240,107,107,,,,,,保留數,,,0,44045862,1483606,0,45529468,0,344136097,0,344136097,389665565,
240,107,107,,,,,,合計,,,2465122798,5415612088,1663316197,0,9544051083,0,2307812138,0,2307812138,11851863221,
240,108,108,1,,,,0002000000-8,總統府主管,,,2556386670,5626639195,1186897065,0,9369922930,0,1806443722,0,1806443722,11176366652,
240,108,108,,5,,,0002400000-9,中央研究院,,,2556386670,5626639195,1186897065,0,9369922930,0,1806443722,0,1806443722,11176366652,
240,108,108,,,1,,5202400100-6,一般行政,,,199242792,59313679,308000,0,258864471,0,790097,0,790097,259654568,
240,108,108,,,2,,5202401000-7,"一般學術研究及評
議",,,2357143878,2267724321,286356801,0,4911225000,0,358290118,0,358290118,5269515118,
240,108,108,,,,1,5202401020-4,"學術審議及研究
獎助",,,2357143878,582109899,67208111,0,3006461888,0,139271689,0,139271689,3145733577,
240,108,108,,,,2,5202401023-2,"主題研究與人才
培育",,,0,1685614422,219148690,0,1904763112,0,219018429,0,219018429,2123781541,
240,108,108,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,3299601195,115426264,0,3415027459,0,840833070,0,840833070,4255860529,
240,108,108,,,,1,5202402010-6,數理科學研究,,,0,1177211256,32910244,0,1210121500,0,382314910,0,382314910,1592436410,
240,108,108,,,,2,5202402020-0,生命科學研究,,,0,1440174161,63156170,0,1503330331,0,282984992,0,282984992,1786315323,
240,108,108,,,,3,5202402030-3,"人文及社會科學
研究",,,0,682215778,19359850,0,701575628,0,175533168,0,175533168,877108796,
240,108,108,,,4,,5202404000-3,南部院區,,,0,0,0,0,0,0,357933437,0,357933437,357933437,
240,108,108,,,5,,5202405000-9,非營業特種基金,,,0,0,784806000,0,784806000,0,248597000,0,248597000,1033403000,
240,108,108,,,,1,5202405010-2,科學研究基金,,,0,0,784806000,0,784806000,0,248597000,0,248597000,1033403000,
240,108,108,,,,,,小計,,,2556386670,5626639195,1186897065,0,9369922930,0,1806443722,0,1806443722,11176366652,
240,108,108,1,,,,0002000000-8,總統府主管,,,0,80234525,1816688,0,82051213,0,940864223,0,940864223,1022915436,
240,108,108,,5,,,0002400000-9,中央研究院,,,0,80234525,1816688,0,82051213,0,940864223,0,940864223,1022915436,
240,108,108,,,1,,5202400100-6,一般行政,,,0,89316,0,0,89316,0,0,0,0,89316,
240,108,108,,,2,,5202401000-7,"一般學術研究及評
議",,,0,41049876,1816688,0,42866564,0,89806473,0,89806473,132673037,
240,108,108,,,,1,5202401020-4,"學術審議及研究
獎助",,,0,33255376,1816688,0,35072064,0,36624908,0,36624908,71696972,
240,108,108,,,,2,5202401023-2,"主題研究與人才
培育",,,0,7794500,0,0,7794500,0,53181565,0,53181565,60976065,
240,108,108,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,39095333,0,0,39095333,0,118541187,0,118541187,157636520,
240,108,108,,,,1,5202402010-6,數理科學研究,,,0,26543613,0,0,26543613,0,53825372,0,53825372,80368985,
240,108,108,,,,2,5202402020-0,生命科學研究,,,0,4396720,0,0,4396720,0,43871653,0,43871653,48268373,
240,108,108,,,,3,5202402030-3,"人文及社會科學
研究",,,0,8155000,0,0,8155000,0,20844162,0,20844162,28999162,
240,108,108,,,4,,5202404000-3,南部院區,,,0,0,0,0,0,0,732516563,0,732516563,732516563,
240,108,108,,,,,,保留數,,,0,80234525,1816688,0,82051213,0,940864223,0,940864223,1022915436,
240,108,108,,,,,,合計,,,2556386670,5706873720,1188713753,0,9451974143,0,2747307945,0,2747307945,12199282088,
240,109,109,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
240,109,109,,5,,,0002400000-9,中央研究院,,,2572791170,5388745554,1334981203,0,9296517927,0,1606175425,0,1606175425,10902693352,
240,109,109,,,1,,5202400100-6,一般行政,,,191353586,48601774,330000,0,240285360,0,986656,0,986656,241272016,
240,109,109,,,2,,5202401000-7,"一般學術研究及評
議",,,2381437584,2128707890,281467130,0,4791612604,0,344945014,0,344945014,5136557618,
240,109,109,,,,1,5202401020-4,"學術審議及研究
獎助",,,2381437584,602868723,68348862,0,3052655169,0,144560951,0,144560951,3197216120,
240,109,109,,,,2,5202401023-2,"主題研究與人才
培育",,,0,1525839167,213118268,0,1738957435,0,200384063,0,200384063,1939341498,
240,109,109,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,3206289856,124706073,0,3330995929,0,733574282,0,733574282,4064570211,
240,109,109,,,,1,5202402010-6,數理科學研究,,,0,1129191319,37321482,0,1166512801,0,331887331,0,331887331,1498400132,
240,109,109,,,,2,5202402020-0,生命科學研究,,,0,1430436830,66236501,0,1496673331,0,238505779,0,238505779,1735179110,
240,109,109,,,,3,5202402030-3,"人文及社會科學
研究",,,0,646661707,21148090,0,667809797,0,163181172,0,163181172,830990969,
240,109,109,,,4,,5202404000-3,南部院區,,,0,5146034,0,0,5146034,0,430147473,0,430147473,435293507,
240,109,109,,,5,,5202405000-9,非營業特種基金,,,0,0,928478000,0,928478000,0,93679000,0,93679000,1022157000,
240,109,109,,,,1,5202405010-2,科學研究基金,,,0,0,928478000,0,928478000,0,93679000,0,93679000,1022157000,
240,109,109,,,6,,5202409000-0,一般建築及設備,,,0,0,0,0,0,0,2843000,0,2843000,2843000,
240,109,109,,,,1,5202409011-7,交通及運輸設備,,,0,0,0,0,0,0,2843000,0,2843000,2843000,
240,109,109,,,,,,小計,,,2572791170,5388745554,1334981203,0,9296517927,0,1606175425,0,1606175425,10902693352,
240,109,109,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
240,109,109,,5,,,0002400000-9,中央研究院,,,0,131600942,7229049,0,138829991,0,973507248,0,973507248,1112337239,
240,109,109,,,1,,5202400100-6,一般行政,,,0,5689050,0,0,5689050,0,0,0,0,5689050,
240,109,109,,,2,,5202401000-7,"一般學術研究及評
議",,,0,110554889,7229049,0,117783938,0,242696177,0,242696177,360480115,
240,109,109,,,,1,5202401020-4,"學術審議及研究
獎助",,,0,90345777,2873288,0,93219065,0,167063926,0,167063926,260282991,
240,109,109,,,,2,5202401023-2,"主題研究與人才
培育",,,0,20209112,4355761,0,24564873,0,75632251,0,75632251,100197124,
240,109,109,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,14967348,0,0,14967348,0,125458644,0,125458644,140425992,
240,109,109,,,,1,5202402010-6,數理科學研究,,,0,7102881,0,0,7102881,0,57170058,0,57170058,64272939,
240,109,109,,,,2,5202402020-0,生命科學研究,,,0,3686270,0,0,3686270,0,59965654,0,59965654,63651924,
240,109,109,,,,3,5202402030-3,"人文及社會科學
研究",,,0,4178197,0,0,4178197,0,8322932,0,8322932,12501129,
240,109,109,,,4,,5202404000-3,南部院區,,,0,389655,0,0,389655,0,605352427,0,605352427,605742082,
240,109,109,,,,,,保留數,,,0,131600942,7229049,0,138829991,0,973507248,0,973507248,1112337239,
240,109,109,,,,,,合計,,,2572791170,5520346496,1342210252,0,9435347918,0,2579682673,0,2579682673,12015030591,
240,110,110,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
240,110,110,,5,,,0002400000-9,中央研究院,,,2612714916,5593274623,1422584893,0,9628574432,0,1548867385,0,1548867385,11177441817,
240,110,110,,,1,,5202400100-6,一般行政,,,203838937,47160253,356000,0,251355190,0,1410285,0,1410285,252765475,
240,110,110,,,2,,5202401000-7,"一般學術研究及評
議",,,2408875979,2309099249,289875250,0,5007850478,0,435928543,0,435928543,5443779021,
240,110,110,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,3148636134,120687076,0,3269323210,0,771143113,0,771143113,4040466323,
240,110,110,,,,1,5202402010-6,數理科學研究,,,0,1076868864,38917413,0,1115786277,0,337490184,0,337490184,1453276461,
240,110,110,,,,2,5202402020-0,生命科學研究,,,0,1440891862,61331354,0,1502223216,0,258362296,0,258362296,1760585512,
240,110,110,,,,3,5202402030-3,"人文及社會科學
研究",,,0,630875408,20438309,0,651313717,0,175290633,0,175290633,826604350,
240,110,110,,,4,,5202404000-3,南部院區,,,0,88378987,787567,0,89166554,0,298132456,0,298132456,387299010,
240,110,110,,,5,,5202405000-9,非營業特種基金,,,0,0,1010879000,0,1010879000,0,40407000,0,40407000,1051286000,
240,110,110,,,,1,5202405010-2,科學研究基金,,,0,0,1010879000,0,1010879000,0,40407000,0,40407000,1051286000,
240,110,110,,,6,,5202409000-0,一般建築及設備,,,0,0,0,0,0,0,1845988,0,1845988,1845988,
240,110,110,,,,1,5202409011-7,交通及運輸設備,,,0,0,0,0,0,0,1845988,0,1845988,1845988,
240,110,110,,,,,,小計,,,2612714916,5593274623,1422584893,0,9628574432,0,1548867385,0,1548867385,11177441817,
240,110,110,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
240,110,110,,5,,,0002400000-9,中央研究院,,,0,76923629,9828539,0,86752168,0,794012925,0,794012925,880765093,
240,110,110,,,2,,5202401000-7,"一般學術研究及評
議",,,0,41454334,9828539,0,51282873,0,210619937,0,210619937,261902810,
240,110,110,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,35469295,0,0,35469295,0,157930417,0,157930417,193399712,
