id,time,會計年度,項目及摘要,金額
501,107,107,2.以前年度歲出撥款,"40,465,365"
501,107,107," 收項總計","2,946,404,931"
501,107,107,付項,0
501,107,107,一、本期支出,"2,828,366,552"
501,107,107,1.本年度歲出,"2,937,230,685"
501,107,107,1.實現數,"2,762,574,926"
501,107,107,2.保留數,"174,655,759"
501,107,107,2.歲出保留數,"-125,750,471"
501,107,107,1.以前年度轉入實現數,"48,905,288"
501,107,107,2.本年度新增保留數-,"-174,655,759"
501,107,107,3.預付款淨增減數,"-1,761,783"
501,107,107,4.繳付公庫數,"18,648,121"
501,107,107,1.本年度歲入繳庫,"16,299,900"
501,107,107,2.以前年度歲出賸餘繳庫,"2,348,221"
501,107,107,二、本期結存,"118,038,379"
501,107,107,1.專戶存款,"118,038,379"
501,107,107," 付項總計","2,946,404,931"
501,108,108,收項,0
501,108,108,一、上期結存,"118,038,379"
501,108,108,1.專戶存款,"118,038,379"
501,108,108,二、本期收入,"3,160,496,890"
501,108,108,1.本年度歲入,"18,634,683"
501,108,108,1.實現數,"18,634,683"
501,108,108,2.其他應收款淨增減數,0
501,108,108,1.以前年度應付及保留數已撥註銷待繳庫數-,"-2,750,300"
501,108,108,2.以前年度歲出賸餘繳庫數,"2,750,300"
501,108,108,3.存入保證金淨增減數,"15,103,916"
501,108,108,4.應付代收款淨增減數,"2,673"
501,108,108,5.應付保管款淨增減數,"-10,954,464"
501,108,108,6.公庫撥入數,"3,137,711,052"
501,108,108,1.本年度歲出撥款,"2,948,323,039"
501,108,108,2.以前年度歲出撥款,"189,387,043"
501,108,108,3.退還以前年度歲入繳庫款,970
501,108,108,7.資產負債淨額淨增減數,-970
501,108,108,1.退還以前年度歲入繳庫數-,-970
501,108,108," 收項總計","3,278,535,269"
501,108,108,付項,0
501,108,108,一、本期支出,"3,156,344,765"
501,108,108,1.本年度歲出,"3,072,933,402"
501,108,108,1.實現數,"2,948,323,039"
501,108,108,2.保留數,"124,610,363"
501,108,108,2.歲出保留數,"71,052,741"
501,108,108,1.以前年度轉入實現數,"195,663,104"
501,108,108,2.本年度新增保留數-,"-124,610,363"
501,108,108,3.預付款淨增減數,"-9,026,361"
501,108,108,4.繳付公庫數,"21,384,983"
501,108,108,1.本年度歲入繳庫,"18,634,683"
501,108,108,2.以前年度歲出賸餘繳庫,"2,750,300"
501,108,108,二、本期結存,"122,190,504"
501,108,108,1.專戶存款,"122,190,504"
501,108,108," 付項總計","3,278,535,269"
